source_sheet,awb,hs_code,quantity,gross_weight_kg,invoice_value,currency,origin_country,recipient_name,recipient_address,goods_description,customs_description
Combine,AL000000001R,61091000,3,1.31,121.78,USD,CN,SANITIZED RECIPIENT,SANITIZED CITY,T SHIRT 3PC,T SHIRT 3PC
Separate,AL000000002R,90184910,1,0.48,201.29,USD,CN,SANITIZED RECIPIENT,SANITIZED CITY,DENTAL DEVICE 1PC,DENTAL DEVICE 1PC
